name	n	mean_probe	sd_probe	median_probe	min_probe	max_probe	NORM_FACT	NF_sd
SF3B1_exon27	20	0.9223	0.0741	0.912	0.7948	1.1046	0.912	0.0741
SF3B1_exon3	20	1.106	0.0322	1.0987	1.0485	1.1572	1.0987	0.0322
SF3B1_exon4	20	1.2678	0.0613	1.2834	1.1022	1.3616	1.2834	0.0613
SF3B1_exon5	20	1.263	0.0648	1.2731	1.0555	1.3676	1.2731	0.0648
SF3B1_exon6	20	0.7918	0.0317	0.7897	0.7072	0.8582	0.7897	0.0317
SF3B1_exon7	20	1.0702	0.0344	1.0771	0.9917	1.1229	1.0771	0.0344
SF3B1_exon8	20	0.8161	0.0413	0.8067	0.7594	0.9214	0.8067	0.0413
SF3B1_exon9	20	1.1012	0.044	1.1012	0.9838	1.1686	1.1012	0.044
SGPP1_exon1	20	1.1625	0.0249	1.169	1.1002	1.2001	1.169	0.0249
SGPP1_exon2	20	0.7608	0.0393	0.7674	0.6992	0.8274	0.7674	0.0393
SGPP1_exon3	20	0.8564	0.0629	0.8695	0.7536	0.9635	0.8695	0.0629
SGPP1_exon4	20	0.4267	0.057	0.43	0.3234	0.5092	0.43	0.057
SNX7_exon1	20	0.1057	0.0123	0.1081	0.0836	0.1256	0.1081	0.0123
SNX7_exon10	20	1.2486	0.0524	1.2575	1.1495	1.3389	1.2575	0.0524
SNX7_exon11	20	1.1804	0.0651	1.1845	1.0812	1.2927	1.1845	0.0651
SNX7_exon2	20	0.4285	0.0599	0.4472	0.3172	0.5287	0.4472	0.0599
SNX7_exon3	20	0.9567	0.0374	0.9709	0.8831	1.0086	0.9709	0.0374
SNX7_exon4	20	0.8945	0.027	0.8906	0.8432	0.9479	0.8906	0.027
SNX7_exon5	20	0.8567	0.035	0.8593	0.7962	0.9118	0.8593	0.035
SNX7_exon6	20	1.0851	0.0356	1.0724	1.025	1.1628	1.0724	0.0356
SNX7_exon7	20	0.8218	0.0302	0.8234	0.7753	0.8882	0.8234	0.0302
SNX7_exon8	20	1.0022	0.0278	1.0027	0.9416	1.0591	1.0027	0.0278
SNX7_exon9	20	0.952	0.0397	0.9421	0.8936	1.07	0.9421	0.0397
SP140_exon1	20	1.0035	0.0628	0.9943	0.8951	1.1355	0.9943	0.0628
SP140_exon10	20	1.031	0.0335	1.0407	0.9613	1.0807	1.0407	0.0335
SP140_exon11	20	1.1367	0.0444	1.1224	1.0837	1.2414	1.1224	0.0444
SP140_exon12	20	1.0352	0.0309	1.0367	0.9557	1.0876	1.0367	0.0309
SP140_exon13	20	1.1976	0.0348	1.2009	1.1328	1.2496	1.2009	0.0348
SP140_exon14	20	0.9899	0.0522	0.9953	0.9056	1.1514	0.9953	0.0522
SP140_exon15	20	1.1853	0.041	1.1897	1.1355	1.2688	1.1897	0.041
SP140_exon16	20	0.9333	0.0468	0.9311	0.8031	0.9994	0.9311	0.0468
SP140_exon17	20	0.8753	0.0302	0.8689	0.8266	0.9324	0.8689	0.0302
SP140_exon18	20	0.9289	0.0434	0.9236	0.8539	1.0229	0.9236	0.0434
