name	n	mean_probe	sd_probe	median_probe	min_probe	max_probe	NORM_FACT	NF_sd
PSMD1_exon21	11	1.1656	0.0887	1.1536	1.0268	1.2979	1.1536	0.0887
PSMD1_exon22	11	1.2659	0.077	1.2826	1.1541	1.3881	1.2826	0.077
PSMD1_exon23	11	1.33	0.14	1.3565	0.9642	1.4784	1.3565	0.14
PSMD1_exon24	11	1.2186	0.1358	1.2289	0.8838	1.4004	1.2289	0.1358
PSMD1_exon25	11	1.3283	0.0762	1.3185	1.2324	1.4816	1.3185	0.0762
PSMD1_exon3	11	1.0789	0.0912	1.0664	0.9522	1.2709	1.0664	0.0912
PSMD1_exon4	11	1.2311	0.1782	1.1932	0.9799	1.5752	1.1932	0.1782
PSMD1_exon5	11	0.9919	0.0711	0.9911	0.8899	1.1412	0.9911	0.0711
PSMD1_exon6	11	1.321	0.0878	1.3095	1.2092	1.4602	1.3095	0.0878
PSMD1_exon7	11	1.0962	0.1475	1.1482	0.7609	1.3062	1.1482	0.1475
PSMD1_exon8	11	1.2105	0.112	1.2194	0.9679	1.3634	1.2194	0.112
PSMD1_exon9	11	1.2512	0.1185	1.2101	1.1326	1.5361	1.2101	0.1185
PTEN_exon1	11	0.0585	0.0246	0.0603	0.0234	0.0954	0.0603	0.0246
PTEN_exon10	11	1.2145	0.2688	1.2516	0.6384	1.5352	1.2516	0.2688
PTEN_exon11	11	1.1166	0.2377	1.1603	0.7952	1.4215	1.1603	0.2377
PTEN_exon12	11	0.8265	0.0945	0.8439	0.6095	0.9098	0.8439	0.0945
PTEN_exon13	11	1.2358	0.1529	1.2453	0.925	1.4057	1.2453	0.1529
PTEN_exon14	11	1.2455	0.1376	1.2725	1.0749	1.4454	1.2725	0.1376
PTEN_exon15	11	0.7819	0.0866	0.7943	0.6267	0.9049	0.7943	0.0866
PTEN_exon16	11	1.0532	0.0491	1.0604	0.9835	1.1559	1.0604	0.0491
PTEN_exon17	11	0.772	0.1114	0.7994	0.5268	0.9126	0.7994	0.1114
PTEN_exon18	11	0.7253	0.1329	0.741	0.5483	0.9431	0.741	0.1329
PTEN_exon19	11	1.0902	0.1737	1.0502	0.8743	1.4195	1.0502	0.1737
PTEN_exon2	11	0.1422	0.0378	0.1617	0.0708	0.1894	0.1617	0.0378
PTEN_exon3	11	0.4533	0.0782	0.4743	0.3145	0.6072	0.4743	0.0782
PTEN_exon4	11	1.0092	0.1113	0.9943	0.8526	1.297	0.9943	0.1113
PTEN_exon5	11	1.0326	0.2401	1.1485	0.7209	1.346	1.1485	0.2401
PTEN_exon6	11	1.2145	0.2115	1.1354	0.9231	1.4977	1.1354	0.2115
PTEN_exon7	11	0.9043	0.3053	1.0989	0.5144	1.2308	1.0989	0.3053
PTEN_exon8	11	0.948	0.2836	1.0868	0.565	1.2398	1.0868	0.2836
PTEN_exon9	11	1.1505	0.2329	1.1229	0.7478	1.4589	1.1229	0.2329
PTPN11_exon1	11	0.0564	0.024	0.0495	0.029	0.0909	0.0495	0.024
PTPN11_exon10	11	1.2119	0.122	1.2401	1.036	1.4347	1.2401	0.122
PTPN11_exon11	11	1.2498	0.2348	1.2976	0.9272	1.5554	1.2976	0.2348
PTPN11_exon12	11	1.1561	0.1218	1.1905	0.8979	1.3044	1.1905	0.1218
PTPN11_exon13	11	1.3997	0.1359	1.4194	1.1938	1.6413	1.4194	0.1359
PTPN11_exon14	11	0.9242	0.0966	0.906	0.8145	1.1879	0.906	0.0966
PTPN11_exon15	11	0.9567	0.0978	0.9209	0.8026	1.1349	0.9209	0.0978
PTPN11_exon16	11	1.0276	0.0822	1.0362	0.8805	1.1312	1.0362	0.0822
PTPN11_exon17	11	1.4686	0.1504	1.4998	1.1825	1.6522	1.4998	0.1504
PTPN11_exon18	11	0.8908	0.0953	0.8644	0.7895	1.0645	0.8644	0.0953
PTPN11_exon19	11	0.9683	0.066	0.9751	0.8791	1.1032	0.9751	0.066
PTPN11_exon2	11	1.1197	0.1189	1.1013	0.9527	1.3174	1.1013	0.1189
